Subject Area,Course Name,Course Description
African American Diaspora Studies,"AADS2306 - Race, Mixed Race, and ""Passing.""","Social, legal constructions and live experiences of race. Phenomenon of ""passing"" and category of ""mixed race"" in fiction, film, and land-mark court cases. [3] (HCA)"
African American Diaspora Studies,"AADS2308 - Critical Race Theory: Race, Racism and Narratives in Education","Foundations, methodologies, and policy-analysis methods of Critical Race Theory as tool of educational practices and policies. [3] (SBS)"
African American Diaspora Studies,AADS2356 - African Spirits in Exile: Diaspora Religions in the Americas,"Use of anthropology, folklore, history, and literature to examine the history of Haitian Vodun, Cuban Santeria, Brazilian Candombl√©, New Orleans Voodoo, and Trinidadian Orisha worship. Comparisons with Black Christian traditions and supernatural beliefs beyond organized religion. [3] (P)"
African American Diaspora Studies,"AADS2514 - Insider/Outsider: Lesbian, Gay, Bisexual, and Trans Black Histories","History, culture and politics of Black lesbian, gay, bisexual, transgender, and queer (LGBTQ) communities during the 20th and 21st centuries. [3] (P)"
African American Diaspora Studies,AADS2654 - Memoirs and Biographies,"Biographies and autobiographies as lenses for the study of historical trends and events; development of gender, sexual, and racial identities in subjects. [3] (US)"
African American Diaspora Studies,AADS3004 - The Morrisonian Era: Toni Morrison and American Social Reality,"Fiction, anthologies, and essays of Toni Morrison. Intersections of race, gender, and class as touchstones in American social reality and Morrison's body of ideas and subsequent works. [3] (HCA)"
African American Diaspora Studies,AADS3006 - James Baldwin: Five Ways of Looking at His Life,"The author through literature, art, film, politics, and place. Five places critical in his artistic evolution: Harlem and Greenwich Village, New York; Paris and St. Paul-de-Vence, France; and Turkey. Film recreations of his life and writings. [3] (INT)"
African American Diaspora Studies,"AADS3016 - GOAT: Life, Times, and Politics of Muhammad Ali","""The Greatest Of All Time"" (GOAT)--Muhammad Ali--and his impact on U.S. sports history, U.S. political culture, global black freedom struggles, and engagement with the Nation of Islam. Offered on a graded basis only. [3] (US)"
African American Diaspora Studies,AADS3104W - Soul Food as Text in Text: An Examination of African American Foodways,"Distinctions between Southern food and soul food. Soul food as performance and projection of gender and racial identity. Cookbooks as literary artifacts. Soul food in American popular culture, and in African American, Southern, and women's writing. Soul food and community formation. [3] (HCA)"
African American Diaspora Studies,AADS3178 - Colonialism and Its Afterlives,"African and Caribbean cultures of colonialism. Forms of decolonization and the predicament of neocolonialism from the emergence of capitalism to the present. The historical and anthropological projects of empire and race-making. Causes and strategies of expansion. Forms of representation and knowledge production. Discourses around intimacy, illness and hygiene. Practices of coercion and violence. [3] (INT)"
African American Diaspora Studies,AADS3204W - African American Children's Literature,"From the seventeenth century to the present. Oral and written; fiction and non-fiction. Major works, writers, and genres. [3] (HCA)"
African American Diaspora Studies,"AADS3206 - Mystery, Murder, and Mayhem in Black Detective Fiction","Detective fiction in America, beginning with Edgar Allan Poe, the founder of the genre in the American literary tradition, and continuing on with such black writers as Chester Himes, Walter Mosley, Paula Wood, and Pamela Thomas-Graham. [3] (HCA)"
African American Diaspora Studies,AADS3208W - Blacks in the Military,"Black participation in American and other wars, from the Revolutionary and Civil wars to ongoing global conflicts. Issues of democracy and freedom. Thematic explorations through film. [3] (P)"
African American Diaspora Studies,AADS3214 - Black Masculinity: Social Imagery and Public Policy,"Historical and contemporary debates, perceptions, and attitudes. Public policy debates surrounding disparate incarceration rates and sentencing, policing, racial profiling. Social imagery, ""down low"" homosexuality, criminality, hypersexuality, and athleticism. [3] (SBS)"
African American Diaspora Studies,AADS3248 - Atlantic African Slave Trade,"Cultural, economic, and social aspects of the African slave trade into the Americas from the 16th to 19th centuries. Transformation of the slave trade as a result of abolition and suppression. [3] (SBS)"
African American Diaspora Studies,AADS3258 - Black Issues in Education,"Race, ethnicity, gender, class and their relationships to both the broader roles of schooling and education in American society. Historical foundation of education for African Americans, educational and socioeconomic inequality, family structures, and social policy initiatives. [3] (SBS)"
African American Diaspora Studies,AADS3278 - Black Europe,"History and politics of the African Diaspora in Europe. Focus on Britain, France, Germany, the Netherlands, and Scandinavia. European Union debates about social exclusion; race in the European context. [3] (INT)"
African American Diaspora Studies,AADS3278W - Black Europe,"History and politics of African Diaspora in Britain, France, Germany, the Netherlands, and Scandinavia. European Union debates about social exclusion and race. [3] (INT)"
African American Diaspora Studies,AADS3306 - Black Detroit,"From 1800 to present. Theory and practice of the Black Metropolis focusing on Detroit, Michigan, as a location of African-American community, commerce, and creativity. [3] (HCA)"
African American Diaspora Studies,AADS3336 - Literatures of Protest,"Study of Black protest through various literary and performative genres, novels, opinion-editorials, poetry, sermons, songs, from 18th century onwards. Exploration of the Black Jeremiad tradition in sermons and texts. [3] (HCA)"
African American Diaspora Studies,"AADS3556 - The Political Economy of Racism: Erasures, Slavery, Eviction, and Fables of Whiteness","Decoding racism in US legislation, novels, historical and political texts, sociological studies, and films. [3] (US)"
African American Diaspora Studies,AADS3611 - Jazz Acting,Actor training with an emphasis on Afrocentric methods such as improvisation and ensemble performance. Offered on a graded basis only. Prerequisite: THTR 1611. [3] (HCA)
African American Diaspora Studies,AADS3850 - Independent Study,"May be repeated for a total of 6 credits, but students may earn only up to 3 credits per semester of enrollment. [1-3; maximum of 6 credits total for all semesters of AADS 3850] (No AXLE credit)"
African American Diaspora Studies,AADS3880 - Internship Training,"Graded on a Pass/Fail basis only and must be taken concurrently with 3881. These hours may not be included in the minimum number of hours required for the African American and Diaspora studies major. Under faculty supervision, students from any discipline can gain experience in a broad range of public and private institutions on issues relative to the black experience. A minimum of 3 hours of background reading and research will be completed in AADS 3881 concurrently with and regardless of the numbers of hours taken in internship training in 3880. Normally a 2.90 grade point average, 6 hours of prior work in AADS, and prior approval by the director of Undergraduate Studies in African American and Diaspora Studies of the student's plan are required. A research paper and report must be submitted at the end of the semester during which the internship training is completed. Corequisite: 3881. [Variable credit: 1-9] (No AXLE credit)"
African American Diaspora Studies,AADS3881 - Internship Readings and Research,"Readings conducted under the supervision of a member of the African American and Diaspora Studies program and a substantial research paper are required. Under faculty supervision, students from any discipline can gain experience in a broad range of public and private institutions on issues relative to the black experience. A minimum of 3 hours of background reading and research will be completed in AADS 3881 concurrently with and regardless of the numbers of hours taken in internship training in 3880. Normally a 2.90 grade point average, 6 hours of prior work in AADS, and prior approval by the director of Undergraduate Studies in African American and Diaspora Studies of the student's plan are required. A research paper and report must be submitted at the end of the semester during which the internship training is completed. Corequisite: 3880. [Variable credit: 3-6] (No AXLE credit)"
African American Diaspora Studies,AADS3890 - Special Topics,May be repeated for credit more than once if there is no duplication in topic. Students may enroll in more than one section of this course each semester. [3] (No AXLE credit)
African American Diaspora Studies,"AADS4104 - Environmental History, Sustainability, and African American Foodways",Advanced treatment of African-American foodways. African-American environmental history. Effects of Seventh-Day Adventist and Black Muslim religious practices on African-American foodways. Creative writing of poet Kevin Young. [3] (HCA)
African American Diaspora Studies,"AADS4108 - Medical Apartheid: Race, Gender and Health","Slavery and the evolution of the fields of gynecology and obstetrics; enslaved black women's agency. Disparities in maternal health and maternal mortality rates, social determinants of health, structural racism, and risk factors. Scientific racism, consent, and implicit bias. [3] (SBS)"
African American Diaspora Studies,AADS4126 - The Black Classics,"Key texts and writers of the African Diaspora, from medieval Africa to the present. Fiction and non-fiction across the disciplines of anthropology, education, history, law, literature, politics, religion, and sociology. [3] (HCA)"
African American Diaspora Studies,AADS4198 - Global Anti-Blackness and Black Power,The relationship and relevance of Black Power to anti-blackness in the United States and globally. The systemic marginalization and exclusion of blacks in public life. Their resilience against and resistance to those efforts. [3] (INT)
African American Diaspora Studies,"AADS4228W - Black Girlhood: History, Performance and Counter-Narratives","Historical and current social, political, and cultural constructions of black girlhood in the United States. Performances in which black girls engage to deconstruct and interrupt these constructions via scholarly works, poetry, film, photography, and novels. [3] (SBS)"
African American Diaspora Studies,AADS4256 - Haiti: Freedom and Democracy,"The Saint-Domingue Revolution from 1791 to 1803 and the development of Haiti from 1804 to the present. Haiti in global context; the revolution as a key moment in the Age of Revolution and the formation of the Black International. Historical monographs, novels, poetry, visual culture, and music. [3] (INT)"
African American Diaspora Studies,AADS4264 - Black Diaspora Women Writers,"Comparative fiction by women from Francophone and Anglophone Africa , the Caribbean, and the United States. Novels of awakening (bildungsroman), themes of exile, home and alienation, identity as well as sexuality, class and color, slavery and colonialism. [3] (HCA)"
African American Diaspora Studies,AADS4270 - Research Methods,"Collection, management, analysis and interpretation of data for research. Introduction to qualitative computer software programs. [3] (SBS)"
African American Diaspora Studies,AADS4506 - Slavery and Public Memory,"Systems of African enslavement in the Americas as a subject of debate among popular and academic audiences. Memoirs, oral history, genealogy, literature, film, and other creative production. Public commemoration and tourist-related slavery observances around the diaspora. [3] (SBS)"
African American Diaspora Studies,AADS4588 - The Black Studies Movement,"(Offered as 4580 prior to Fall 20200 Black Studies and student movements of the 1960s and early 1970s. Intellectual traditions, precedents, and political ideologies of movements. Issues that sparked the call for Black Studies at different college campuses and public school systems. Not open to students who have completed 4580. [3] (SBS)"
African American Diaspora Studies,AADS4851 - Special Topics in Humanities,"Topics Vary. Literary, philosophical, and cultural texts. May be repeated for credit if there is no duplication in topic. [3] (HCA)"
African American Diaspora Studies,AADS4852 - Special Topics in Social Sciences,"Topics Vary. Diverse range of social and political questions, issues, and problems. May be repeated for credit if there is no duplication in topic. [3] (SBS)"
African American Diaspora Studies,AADS4979 - Senior Thesis in African American and Diaspora Studies,Senior Thesis in African American and Diaspora Studies. Supervised readings and independent research to produce an interdisciplinary research paper; topic to be selected in conjunction with a faculty member of African American and Diaspora Studies. Open only to seniors. [3] (No AXLE credit)
African American Diaspora Studies,AADS4999 - Senior Honors Thesis,Supervised readings and independent research for honors thesis under supervision of the adviser and another faculty member. Open only to seniors in the Honors Program. [3] (No AXLE credit)
American Sign Language,ASL2100 - American Sign Language I,"This introductory course includes basic communication skills of American Sign Language and ""contact"" language (e.g., nonmanual markers, fingerspelling, numbers, basic vocabulary, classifiers), the sign system continuum, culture implications, and media resources available. [3]"
American Sign Language,ASL2110 - American Sign Language II,"This is an intermediate course in American Sign Language that includes an in-depth look at the linguistics of ASL (e.g., morphology, syntax, phonology, and semantics) and current readings and research in the field. [3]"
American Studies,AMER1001 - Commons iSeminar,Topics vary. General Elective credit only. [1] (No AXLE Credit)
American Studies,AMER1002 - Introduction to American Studies,"An interdisciplinary approach to American culture, character, and life. Repeat credit for students who have completed 1002W. [3] (US)"
American Studies,AMER1002W - Introduction to American Studies,"An interdisciplinary approach to American culture, character, and life. Repeat credit for students who have completed 1002. [3] (US)"
American Studies,AMER1111 - First-Year Writing Seminar,"Independent learning and inquiry in an environment in which students can express knowledge and defend opinions through intensive class discussion, oral presentations, and written expression. May be repeated for credit once if there is no duplication of topic, but students may earn only up to 3 credits in any 1111 course per semester of enrollment. [3; maximum of 6 credits total for all semesters of 1111] (AXLE credit category varies by section)"
American Studies,AMER1200 - Introduction to Southern Studies,"An interdisciplinary approach to southern American culture, character, and life approached from the interrelated perspectives of history and culture (literature, music, religion, images, rituals, material culture). [3] (US)"
American Studies,AMER1700W - Writing for Social Change,"Practice of narrative, nonfiction writing for social change. History of American investigative journalism and scholarship. Interviewing, research, narrative and revision skills. [3] (HCA)"
American Studies,AMER1750W - Prison Writing in the US,On-campus course on prison writings. Centered on voices of incarcerated people in lockdown in the Secure Housing Unit. Daily living and struggles of incarceration. [3] (US)
American Studies,"AMER2100 - Sports, Culture, and Society","Multifaceted role of sports in culture and society, past and present. Cross-cultural perspectives on U.S. sports and related practices. [3] (SBS)"
American Studies,AMER2204 - The U.S. Stage,"Including British colonial and revolutionary drama; frontier theatre; melodrama; minstrelsy, vaudeville, burlesque, and the musical stage; pageantry and community theatre; postwar realism; African-American, Chicana/o, feminist, and Asian-American theatre movements. [3] (US)"
American Studies,"AMER2500 - American Cultures: Past, Present, Future","American cultural history from earliest contact between North American indigenous peoples and Europeans to the present. Popular norms and beliefs as well as literature, art, and philosophy. Ideas of exceptionalism, democracy, and the marketplace; struggles over inclusion and citizenship; and the U.S. role in globalization. [3] (US)"
American Studies,AMER3007 - Religion Culture and Society,"Relationships between cultural, political, and social dynamics and religion. How religions and spiritual practices shape cultures and are changed by them. Contexts and issues that arise from the religious and spiritual dimensions of human life. [3] (HCA)"
American Studies,AMER3100 - Rhetoric of Social Movements,"The role of communication in the creation, development, and function of social movements. The analysis of specific rhetorical acts. The study of the arguments, patterns of persuasion, and communication strategies of selected social movements. [3] (US)"
American Studies,AMER3200 - Global Perspectives on the U.S.,Contemporary and historical views of the U.S. political and cultural presence in the world; comparative nationalisms; emphasis on points of view outside the U.S. [3] (US)
American Studies,"AMER3333 - Going Viral? Borders, Belonging, and Citizenship in the Contemporary World","Today's most intractable problems traverse national boundaries. Yet crises like COVID-19, global warming, and poverty also energize attempts to police borders, curtail migration, and tighten citizenship requirements. In this interdisciplinary course with guest appearances by activists, artists, and authors, we explore pressures on contemporary ideas about membership, boundaries, and belonging. [3] (HCA)"
American Studies,AMER3830 - Serving and Learning,Meanings of and motives behind community service in the United States. The process of engagement in meaningful service. Challenges in integrating service with academic coursework. A service-learning course. [3] (P)
American Studies,AMER3851 - Independent Readings and Research,"Independent readings and/or research on approved topics relating to American society and culture. May be repeated for a total of 6 credits in 3851 and 3852 combined if there is no duplication in topic, but students may earn only up to 3 credits per semester of enrollment. [1-3; maximum of 6 credits total for all semesters of AMER 3851 and 3852] (No AXLE credit)"
American Studies,AMER3852 - Independent Readings and Research,"Independent readings and/or research on approved topics relating to American society and culture. May be repeated for a total of 6 credits in 3851 and 3852 combined if there is no duplication in topic, but students may earn only up to 3 credits per semester of enrollment. [1-3; maximum of 6 credits total for all semesters of AMER 3851 and 3852] (No AXLE credit)"
American Studies,AMER3880 - Internship Training,"Offered on a pass/fail basis only and must be taken concurrently with 3881. Under faculty supervision, students intern in public or private organizations, conduct background research and reading, and submit a research paper at the end of the semester during which the internship training is complete. Background reading and research will be completed in 3881 concurrently with the completion of internship training, 3880; a minimum of 3 hours of 3881 must be completed, independent of hours taken in 3880. Corequisite: 3881. [Variable credit: 1-6] (No AXLE credit)"
American Studies,AMER3881 - Internship Readings and Research,"Under faculty supervision, students intern in public or private organizations, conduct background research and reading, and submit a research paper at the end of the semester during which the internship training is completed. Background reading and research will be completed in 3881 concurrently with the completion of internship training, 3880; a minimum of 3 hours of 3881 must be completed, independent of hours taken in 3880. Corequisite: 3880. [3-6]. (No AXLE credit)"
American Studies,AMER3890 - Topics in American Studies,Topics vary. May be repeated for credit more than once if there is no duplication in topic. Students may enroll in more than one section of this course each semester. [3] (SBS)
American Studies,AMER4000 - Research Methods Workshop,"Issues, methodologies, traditions, approaches, and problems in the discipline. Limited to juniors and seniors with preference given to majors and minors. May be repeated for credit more than once if there is no duplication in topic. Students may enroll in more than one section of this course each semester. [3] (HCA)"
American Studies,AMER4100 - Undergraduate Seminar in American Studies,"Advanced reading, research, and writing in a particular area of American Studies. Limited to juniors and seniors with preference given to American Studies majors. May be repeated for credit once if there is no duplication in topic. Students may enroll in more than one section of this course each semester. [3; maximum of 6 credits total for all semesters of AMER 4100] (SBS)"
American Studies,AMER4960 - Senior Project,"A project conceived, developed, and completed under supervision of the American Studies faculty. Normally open only to senior American Studies majors. [3] (SBS)"
Anthropology,ANTH1001 - Commons iSeminar,Topics vary. General Elective credit only. [1] (No AXLE credit)
Anthropology,ANTH1101 - Introduction to Cultural Anthropology,"The study of diverse cultures in the contemporary world. The ways in which cultures have developed and changed. Intended for students with a general interest in the field of anthropology. [3] (SBS) (CORE C, E)"
Anthropology,ANTH1111 - First-Year Writing Seminar,"Independent learning and inquiry in an environment in which students can express knowledge and defend opinions through intensive class discussion, oral presentations, and written expression. May be repeated for credit once if there is no duplication of topic, but students may earn only up to 3 credits in any 1111 course per semester of enrollment. [3; maximum of 6 credits total for all semesters of 1111] (AXLE credit category varies by section)"
Anthropology,ANTH1130W - America through the Lens of Disney,"Concepts of gender, family, race, and class through a combination of texts and animated films produced by the Walt Disney Company. Impact on contemporary American cultural values. No credit for students who have earned credit for 1111 section 07. [3] (P)"
Anthropology,ANTH1201 - Introduction to Archaeology,"Archaeological interpretation of global human history from early settled villages through the rise of the first civilizations. Archaeological methods and analysis, interpretive controversies, and cultural heritage. Environment, technology, religion, and human diversity in past cultural transformations. Rise of early cities and states. Repeat credit for students who earned credit for 1201W. [3] (SBS) (CORE C)"
Anthropology,ANTH1201W - Introduction to Archaeology,"Archaeological interpretation of global human history from early settled villages through the rise of the first civilizations. Archaeological methods and analysis, interpretive controversies, and cultural heritage. Environment, technology, religion, and human diversity in past cultural transformations. Rise of early cities and states. Repeat credit for students who earned credit for 1201. [3] (SBS)"
Anthropology,ANTH1301 - Introduction to Biological Anthropology,"Natural selection and evolution of primates and humans. Theories on early human lifeways and behavior. Bioarchaeological and bioanthropological studies of past and present human health and disease. Evaluation of fossil, skeletal, molecular, and artifactual evidence in reconstructing the past. [3] (MNS) (CORE B, C)"
Anthropology,ANTH1601 - Introduction to Language and Culture,"The interrelationship between language and culture. Language and thought, language ideologies, discourse, and linguistic and social identities. Culture and language change. [3] (SBS)"
Anthropology,ANTH2101 - Theories of Culture,"Survey of the views of anthropological thinkers, from the late nineteenth century to the present, about the basic attributes of humankind and human culture. Comparison of different ideas of how people create culture and in turn are molded by culture. Repeat credit for students who have earned credit for 3900. [3] (SBS)"
Anthropology,ANTH2102 - Problems in Anthropological Theory,"Seminar in anthropological theory: cultural evolution, cultural history, ethnic relations, cultural ecology, archaeological method and theory, social structure, political organizations, and religious institutions. Repeat credit for students who have earned credit for 3901. [3] (SBS)"
Anthropology,ANTH2105 - Race in the Americas,"Origins of the concept of race. Comparison of past and present racial ideologies and practices in the United States, Latin America, and the Caribbean. The intersection of race with gender, ethnicity, class, nationalism, and colonialism. [3] (P)"
Anthropology,ANTH2106 - Culture and Power in Latin America,"Survey of native cultures and Spanish and Portuguese heritage. Fundamental traditions, including marriage and the family, the relationship between men and women, racial and ethnic identity, social class, and religion. Peasant communities and contemporary urban life. [3] (INT)"
Anthropology,ANTH2108 - Indigenous Peoples of Lowland South America,"Native societies of Amazonia, the Orinoco basin, and other forest, savanna, and coastal regions of South America. Ecology, cosmology, social organization, and political relations in historical and contemporary populations. Government policies, human rights, environmentalism, sustainable development, and indigenous activism and advocacy. [3] (SBS)"
Anthropology,ANTH2109 - Food Politics in America,"The cultural, social, political, and economic contexts of the contemporary food system. Issues of health and nutrition. Land use, ecological relations, food chains, and links to climate change. Ethics of food production, distribution, and consumption. Agricultural policy, immigration, work conditions, animal welfare, and local economies. Roles of citizens and consumers. Rise of movements seeking sustainable alternatives. [3] (US)"
Anthropology,ANTH2110 - Gender and Cultural Politics,"Cross-cultural comparison of women's roles and status in western and non-Western societies. Role of myths, symbols, and rituals in the formation of gender identities and the politics of sexual cooperation, conflict, and inequality. Case studies from Africa, the Middle East, Europe, North and South America, Asia, and Melanesia. Serves as repeat credit for ANTH 3145. [3] (P)"
Anthropology,"ANTH2113W - Food, Identity, and Culture","Food in Western and non-Western cultures. Food, power, and the making of social beings. Taboos, cultural preferences, and sensory perceptions. Role of eating in social categories, boundaries, and the creation of self and other. Food fashion, globalization, and food in the media.[3] (INT)"
Anthropology,ANTH2114 - Above and Below the Surface: The Caribbean between Climate Change and Tourism,"Caribbean islands, history, tourism, and ecology. Human-environment interactions. Under water and above water ecologies; Scuba diving and environmental research. Development of interdisciplinary critical thought. Applied research. [3] (INT)"
Anthropology,"ANTH2115 - Eating the Nation: Gastro-nationalism, neoliberal production, and identity politics in Spain","Politics of food, race, and identity in Spain. History of nationalism in Spain and Basque and Catalán separatism. Spanish national cuisine; local food politics as articulations of independence movements. Food ways with respect to production, delivery, and consumption: regional processes, race, and migration. [3] (SBS)"
Anthropology,"ANTH2116W - Coffee: Biology, Culture, and Political Economy","Coffee from bean to cup. Plant biology and pharmacology, agricultural and economic dimensions, and taste and quality. Social and cultural implications of coffee trade and marketing, coffee shop cultures over time, and commodification and decommodification. [3] (SBS)"
Anthropology,ANTH2117W - Borders and Territories: The Making of Land and People,"Migration, migrants, and the nature and making of borders, from inner cities to international and national borders. International migration and global capitalism. Border conflicts, nationalism, and territories. [3] (INT)"
Anthropology,ANTH2118 - Revolutionary Cities: Urban Uprisings in Paris and Barcelona,"Paris in French Revolution, 1871 Paris Commune, and May 1968. Barcelona in Catalan nationalism, Spanish Revolution. Political ideologies of revolution, theories of power, forms of self-organization, and protest tactics. Role of art, collective gatherings, and performance in revolution. Legacies of revolution in contemporary politics, social movements, and urban uprisings. Offered on a graded basis only. [3] (SBS)"
Anthropology,"ANTH2120 - Sports, Culture, and Society","Multifaceted role of sports in culture and society, past and present. Cross-cultural perspectives on U.S. sports and related practices. [3] (SBS)"
Anthropology,ANTH2122 - Human Rights of Indigenous Peoples,"Major concepts and legal frameworks for indigenous self-governance, cultural rights, and environmental stewardship. Local and transnational indigenous rights movements. [3] (P) (CORE C, E)"
Anthropology,ANTH2130 - Global Infrastructure and Everyday Life,"Relations between infrastructure and society around the world, past and present. Analysis of large technical systems as sites of cultural meaning, political struggle, and everyday social interaction. Water, energy, communication, and transportation networks in Africa, Asia, and the Americas, with an emphasis on Latin America. Offered on a graded basis only. [3] (INT)"
Anthropology,ANTH2150 - Urban Ecology,"Environmental conditions and consequences of human and non-human life processes in cities through history. Transformations of landscapes, food systems, social inequality, and built environments. Origins of cities, gentrification, urban planning, green activism, and environmental justice. Long-term perspectives on climate change, political ecology, environmental history, green politics, and prospects for sustainability. [3] (SBS)"
